comment,cleaned_comment,tokenized_comment,stopwords_comment,stemmed_comment,cleaned_stemmed,sentiment_prediction
"Tenang,,kita pasti melangkah lebih jauh",tenang kita pasti melangkah lebih jauh,"['tenang', 'kita', 'pasti', 'melangkah', 'lebih', 'jauh']","['tenang', 'melangkah']","['tenang', 'lang']",tenang lang,neutral
Ada heng nya pakai baju putih ni,ada heng nya pakai baju putih ini,"['ada', 'heng', 'nya', 'pakai', 'baju', 'putih', 'ini']","['heng', 'pakai', 'baju', 'putih']","['heng', 'pakai', 'baju', 'putih']",heng pakai baju putih,neutral
Pemain timnas bgtu tenang,pemain timnas bgtu tenang,"['pemain', 'timnas', 'bgtu', 'tenang']","['pemain', 'timnas', 'bgtu', 'tenang']","['main', 'timnas', 'bgtu', 'tenang']",main timnas bgtu tenang,neutral
Lessss goooo 🔥,less goo,"['less', 'goo']","['less', 'goo']","['less', 'goo']",less goo,neutral
martien paes kereen ..tenang,martien paes kereen tenang,"['martien', 'paes', 'kereen', 'tenang']","['martien', 'paes', 'kereen', 'tenang']","['martien', 'paes', 'kereen', 'tenang']",martien paes kereen tenang,neutral
Yang gk nonton tdi mlm. Tpi nonton highlighnya kumpul dsini😅,yang tidak nonton tdi mlm tapi nonton highlighnya kumpul dsini,"['yang', 'tidak', 'nonton', 'tdi', 'mlm', 'tapi', 'nonton', 'highlighnya', 'kumpul', 'dsini']","['nonton', 'tdi', 'mlm', 'nonton', 'highlighnya', 'kumpul', 'dsini']","['nonton', 'tdi', 'mlm', 'nonton', 'highlighnya', 'kumpul', 'dsini']",nonton tdi mlm nonton highlighnya kumpul dsini,neutral
kelas kontrol bolanya luar biasa. sangat tenang,kelas kontrol bolanya luar biasa sangat tenang,"['kelas', 'kontrol', 'bolanya', 'luar', 'biasa', 'sangat', 'tenang']","['kelas', 'kontrol', 'bolanya', 'tenang']","['kelas', 'kontrol', 'bola', 'tenang']",kelas kontrol bola tenang,neutral
12:49 hp gw langsung dingin 🥶🥶,hp saya langsung dingin,"['hp', 'saya', 'langsung', 'dingin']","['hp', 'langsung', 'dingin']","['hp', 'langsung', 'dingin']",hp langsung dingin,neutral
siapa yg sudah nonton malah nonton haighligh lagii....,siapa yang sudah nonton malah nonton haighligh lagii,"['siapa', 'yang', 'sudah', 'nonton', 'malah', 'nonton', 'haighligh', 'lagii']","['nonton', 'nonton', 'haighligh', 'lagii']","['nonton', 'nonton', 'haighligh', 'lagi']",nonton nonton haighligh lagi,neutral
Pada udah nonton malem tapi kenapa jadi mau nonton lagi ya,pada udah nonton malem tapi kenapa jadi mau nonton lagi iya,"['pada', 'udah', 'nonton', 'malem', 'tapi', 'kenapa', 'jadi', 'mau', 'nonton', 'lagi', 'iya']","['udah', 'nonton', 'malem', 'nonton', 'iya']","['udah', 'nonton', 'malem', 'nonton', 'iya']",udah nonton malem nonton iya,neutral
Nonton nya sampai spot jantung cuy,nonton nya sampai spot jantung cuy,"['nonton', 'nya', 'sampai', 'spot', 'jantung', 'cuy']","['nonton', 'spot', 'jantung', 'cuy']","['nonton', 'spot', 'jantung', 'cuy']",nonton spot jantung cuy,neutral
"Masukan buat komentator rcti
Kurangi dialognya",masukan buat komentator rcti kurangi dialognya,"['masukan', 'buat', 'komentator', 'rcti', 'kurangi', 'dialognya']","['masukan', 'komentator', 'rcti', 'kurangi', 'dialognya']","['masuk', 'komentator', 'rcti', 'kurang', 'dialog']",masuk komentator rcti kurang dialog,neutral
Siapa yang mau nonton malah ketiduran 😅😅,siapa yang mau nonton malah ketiduran,"['siapa', 'yang', 'mau', 'nonton', 'malah', 'ketiduran']","['nonton', 'ketiduran']","['nonton', 'tidur']",nonton tidur,neutral
Kan baju putih pembawa hoki😭,kan baju putih pembawa hoki,"['kan', 'baju', 'putih', 'pembawa', 'hoki']","['baju', 'putih', 'pembawa', 'hoki']","['baju', 'putih', 'bawa', 'hoki']",baju putih bawa hoki,neutral
"Mau nonton, ketiduran 😅",mau nonton ketiduran,"['mau', 'nonton', 'ketiduran']","['nonton', 'ketiduran']","['nonton', 'tidur']",nonton tidur,neutral
Aku baru mau nonton 😂,aku baru mau nonton,"['aku', 'baru', 'mau', 'nonton']",['nonton'],['nonton'],nonton,neutral
Martan pas luar biasa ❤❤,martan pas luar biasa,"['martan', 'pas', 'luar', 'biasa']","['martan', 'pas']","['martan', 'pas']",martan pas,neutral
Dingin tetapi tidak kejam🥶🥶🥶🥶🥶🥶🥶🥶,dingin tetapi tidak kejam,"['dingin', 'tetapi', 'tidak', 'kejam']","['dingin', 'kejam']","['dingin', 'kejam']",dingin kejam,neutral
Nontonnya ampe keringat dingin,nontonnya ampe keringat dingin,"['nontonnya', 'ampe', 'keringat', 'dingin']","['nontonnya', 'ampe', 'keringat', 'dingin']","['nontonnya', 'ampe', 'keringat', 'dingin']",nontonnya ampe keringat dingin,neutral
Pemain depan m. Emang perlu ketenangan,pemain depan emang perlu ketenangan,"['pemain', 'depan', 'emang', 'perlu', 'ketenangan']","['pemain', 'emang', 'ketenangan']","['main', 'emang', 'tenang']",main emang tenang,neutral
Ini klo nonton siaran full match dmn yak,ini kalau nonton siaran full match dmn yak,"['ini', 'kalau', 'nonton', 'siaran', 'full', 'match', 'dmn', 'yak']","['nonton', 'siaran', 'full', 'match', 'dmn', 'yak']","['nonton', 'siar', 'full', 'match', 'dmn', 'yak']",nonton siar full match dmn yak,neutral
Yang mau janji ngesot sampai Madura penuhi janjinya ..,yang mau janji ngesot sampai madura penuhi janjinya,"['yang', 'mau', 'janji', 'ngesot', 'sampai', 'madura', 'penuhi', 'janjinya']","['janji', 'ngesot', 'madura', 'penuhi', 'janjinya']","['janji', 'ngesot', 'madura', 'penuh', 'janji']",janji ngesot madura penuh janji,neutral
"Gw udh nonton di TV waktu itu, tapi gw nonton lagi wkwk😂",saya sudah nonton di tv waktu itu tapi saya nonton lagi wkwk,"['saya', 'sudah', 'nonton', 'di', 'tv', 'waktu', 'itu', 'tapi', 'saya', 'nonton', 'lagi', 'wkwk']","['nonton', 'tv', 'nonton']","['nonton', 'tv', 'nonton']",nonton tv nonton,neutral
"Siapa yang udah nonton di TV, nonton lagi di YouTube ☝️",siapa yang udah nonton di tv nonton lagi di youtube,"['siapa', 'yang', 'udah', 'nonton', 'di', 'tv', 'nonton', 'lagi', 'di', 'youtube']","['udah', 'nonton', 'tv', 'nonton', 'youtube']","['udah', 'nonton', 'tv', 'nonton', 'youtube']",udah nonton tv nonton youtube,neutral
Jersey putih🔥🔥🔥🔥🔥🔥🔥🔥,jersey putih,"['jersey', 'putih']","['jersey', 'putih']","['jersey', 'putih']",jersey putih,neutral
Paesss bnr bnr luar biasaaaaa,paess bnr bnr luar biasaa,"['paess', 'bnr', 'bnr', 'luar', 'biasaa']","['paess', 'bnr', 'bnr', 'biasaa']","['paess', 'bnr', 'bnr', 'biasaa']",paess bnr bnr biasaa,neutral
Akhirnya kekurangan kita di kiper di temukan juga,akhirnya kekurangan kita di kiper di temukan juga,"['akhirnya', 'kekurangan', 'kita', 'di', 'kiper', 'di', 'temukan', 'juga']","['kekurangan', 'kiper', 'temukan']","['kurang', 'kiper', 'temu']",kurang kiper temu,neutral
jadi keinget gol Inzaghi pas free kick nya Pirlo wkwkwk,jadi keinget gol inzaghi pas free kick nya pirlo wkwkwk,"['jadi', 'keinget', 'gol', 'inzaghi', 'pas', 'free', 'kick', 'nya', 'pirlo', 'wkwkwk']","['keinget', 'gol', 'inzaghi', 'pas', 'free', 'kick', 'pirlo']","['keinget', 'gol', 'inzaghi', 'pas', 'free', 'kick', 'pirlo']",keinget gol inzaghi pas free kick pirlo,neutral
Terharu nonton nya 😭,terharu nonton nya,"['terharu', 'nonton', 'nya']","['terharu', 'nonton']","['haru', 'nonton']",haru nonton,neutral
"Kurangnya cuma satu dr dulu, lapangan lapangan dan lapangan... Mudah2an pengelola segera di ganti",kurangnya cuma satu dari dulu lapangan lapangan dan lapangan mudah an pengelola segera di ganti,"['kurangnya', 'cuma', 'satu', 'dari', 'dulu', 'lapangan', 'lapangan', 'dan', 'lapangan', 'mudah', 'an', 'pengelola', 'segera', 'di', 'ganti']","['kurangnya', 'lapangan', 'lapangan', 'lapangan', 'mudah', 'pengelola', 'ganti']","['kurang', 'lapang', 'lapang', 'lapang', 'mudah', 'kelola', 'ganti']",kurang lapang lapang lapang mudah kelola ganti,neutral
Nitip,nitip,['nitip'],['nitip'],['nitip'],nitip,neutral
Setenang ini 😭,setenang ini,"['setenang', 'ini']",['setenang'],['tenang'],tenang,neutral
"jersey putih sipake"" terus ajalah!!!",jersey putih sipake terus ajalah,"['jersey', 'putih', 'sipake', 'terus', 'ajalah']","['jersey', 'putih', 'sipake', 'ajalah']","['jersey', 'putih', 'sipake', 'aja']",jersey putih sipake aja,neutral
oalaaahhh ketinggalan berita nich,oalaahh ketinggalan berita nich,"['oalaahh', 'ketinggalan', 'berita', 'nich']","['oalaahh', 'ketinggalan', 'berita', 'nich']","['oalaahh', 'tinggal', 'berita', 'nich']",oalaahh tinggal berita nich,neutral
Masih aja tuh gua nonton highlight nya. Padahal live streaming juga🔥🇲🇨,masih saja tuh saya nonton highlight nya padahal live streaming juga,"['masih', 'saja', 'tuh', 'saya', 'nonton', 'highlight', 'nya', 'padahal', 'live', 'streaming', 'juga']","['tuh', 'nonton', 'highlight', 'live', 'streaming']","['tuh', 'nonton', 'highlight', 'live', 'streaming']",tuh nonton highlight live streaming,neutral
BERASA NONTON PIALA UCL,berasa nonton piala ucl,"['berasa', 'nonton', 'piala', 'ucl']","['berasa', 'nonton', 'piala', 'ucl']","['asa', 'nonton', 'piala', 'ucl']",asa nonton piala ucl,neutral
pas,pas,['pas'],['pas'],['pas'],pas,neutral
Nitip komentar sebelum trending 1,nitip komentar sebelum trending,"['nitip', 'komentar', 'sebelum', 'trending']","['nitip', 'komentar', 'trending']","['nitip', 'komentar', 'trending']",nitip komentar trending,neutral
cocote towel mana nich.....,cocote towel mana nich,"['cocote', 'towel', 'mana', 'nich']","['cocote', 'towel', 'nich']","['cocote', 'towel', 'nich']",cocote towel nich,neutral
jersey putih lebih hoki,jersey putih lebih hoki,"['jersey', 'putih', 'lebih', 'hoki']","['jersey', 'putih', 'hoki']","['jersey', 'putih', 'hoki']",jersey putih hoki,neutral
Pertandingan awal yang menjanjikan🎉🎉,pertandingan awal yang menjanjikan,"['pertandingan', 'awal', 'yang', 'menjanjikan']","['pertandingan', 'menjanjikan']","['tanding', 'janji']",tanding janji,neutral
Tgl 29 November 2024 nonton lagi ahhh,tgl november nonton lagi ahh,"['tgl', 'november', 'nonton', 'lagi', 'ahh']","['tgl', 'november', 'nonton', 'ahh']","['tgl', 'november', 'nonton', 'ahh']",tgl november nonton ahh,neutral
"Indonesia takutnya sama China doang,,, takut ditagih hutang😂",indonesia takutnya sama china doang takut ditagih hutang,"['indonesia', 'takutnya', 'sama', 'china', 'doang', 'takut', 'ditagih', 'hutang']","['indonesia', 'takutnya', 'china', 'doang', 'takut', 'ditagih', 'hutang']","['indonesia', 'takut', 'china', 'doang', 'takut', 'tagih', 'hutang']",indonesia takut china doang takut tagih hutang,neutral
"Arab Saudi agar mengurangi "" drama-drama"" ....",arab saudi agar mengurangi drama drama,"['arab', 'saudi', 'agar', 'mengurangi', 'drama', 'drama']","['arab', 'saudi', 'mengurangi', 'drama', 'drama']","['arab', 'saudi', 'kurang', 'drama', 'drama']",arab saudi kurang drama drama,neutral
Tim yg udah nonton di TV tapi tetep masih pengen nonton highlight,tim yang udah nonton di tv tapi tetep masih ingin nonton highlight,"['tim', 'yang', 'udah', 'nonton', 'di', 'tv', 'tapi', 'tetep', 'masih', 'ingin', 'nonton', 'highlight']","['tim', 'udah', 'nonton', 'tv', 'tetep', 'nonton', 'highlight']","['tim', 'udah', 'nonton', 'tv', 'tetep', 'nonton', 'highlight']",tim udah nonton tv tetep nonton highlight,neutral
luar biasaaaa,luar biasaa,"['luar', 'biasaa']",['biasaa'],['biasaa'],biasaa,neutral
Tim merah putih rasa tim orange,tim merah putih rasa tim orange,"['tim', 'merah', 'putih', 'rasa', 'tim', 'orange']","['tim', 'merah', 'putih', 'tim', 'orange']","['tim', 'merah', 'putih', 'tim', 'orange']",tim merah putih tim orange,neutral
"Mari kita jamu Australia di GBK nanti, dan akan dipastikan FULL Merah Putih 🇮🇩",mari kita jamu australia di gbk nanti dan akan dipastikan full merah putih,"['mari', 'kita', 'jamu', 'australia', 'di', 'gbk', 'nanti', 'dan', 'akan', 'dipastikan', 'full', 'merah', 'putih']","['mari', 'jamu', 'australia', 'gbk', 'full', 'merah', 'putih']","['mari', 'jamu', 'australia', 'gbk', 'full', 'merah', 'putih']",mari jamu australia gbk full merah putih,neutral
Kalian luaarr biasaa,kalian luaarr biasaa,"['kalian', 'luaarr', 'biasaa']","['luaarr', 'biasaa']","['luaarr', 'biasaa']",luaarr biasaa,neutral
jadi keinget where is messi aja ane wkwkwk 😅😅,jadi keinget where is messi saja ane wkwkwk,"['jadi', 'keinget', 'where', 'is', 'messi', 'saja', 'ane', 'wkwkwk']","['keinget', 'messi', 'ane']","['keinget', 'messi', 'ane']",keinget messi ane,neutral
siapa yg masih sering nonton lagi🇮🇩,siapa yang masih sering nonton lagi,"['siapa', 'yang', 'masih', 'sering', 'nonton', 'lagi']",['nonton'],['nonton'],nonton,neutral
"Mainnya blm padu banyak kesalahan, ga tenang kaya babak pertama",mainnya belum padu banyak kesalahan tidak tenang kaya babak pertama,"['mainnya', 'belum', 'padu', 'banyak', 'kesalahan', 'tidak', 'tenang', 'kaya', 'babak', 'pertama']","['mainnya', 'padu', 'kesalahan', 'tenang', 'kaya', 'babak']","['main', 'padu', 'salah', 'tenang', 'kaya', 'babak']",main padu salah tenang kaya babak,neutral
kami juga nitip komentar baru 1 jam,kami juga nitip komentar baru jam,"['kami', 'juga', 'nitip', 'komentar', 'baru', 'jam']","['nitip', 'komentar', 'jam']","['nitip', 'komentar', 'jam']",nitip komentar jam,neutral
Lebih  20 kali aku nonton ini😅😅😅😅😅😅,lebih kali aku nonton ini,"['lebih', 'kali', 'aku', 'nonton', 'ini']","['kali', 'nonton']","['kali', 'nonton']",kali nonton,neutral
Tenan ora,tenan ora,"['tenan', 'ora']","['tenan', 'ora']","['tenan', 'ora']",tenan ora,neutral
Berasa nonton UCL wkwk,berasa nonton ucl wkwk,"['berasa', 'nonton', 'ucl', 'wkwk']","['berasa', 'nonton', 'ucl']","['asa', 'nonton', 'ucl']",asa nonton ucl,neutral
"Tinggal pertahankan gaya permainan, kurangi kesalahan/pelanggaran yg tidak perlu,, ini permainan seri rasa menang ❤",tinggal pertahankan gaya permainan kurangi kesalahan pelanggaran yang tidak perlu ini permainan seri rasa menang,"['tinggal', 'pertahankan', 'gaya', 'permainan', 'kurangi', 'kesalahan', 'pelanggaran', 'yang', 'tidak', 'perlu', 'ini', 'permainan', 'seri', 'rasa', 'menang']","['tinggal', 'pertahankan', 'gaya', 'permainan', 'kurangi', 'kesalahan', 'pelanggaran', 'permainan', 'seri', 'menang']","['tinggal', 'tahan', 'gaya', 'main', 'kurang', 'salah', 'langgar', 'main', 'seri', 'menang']",tinggal tahan gaya main kurang salah langgar main seri menang,neutral
Indonesia mode Jersey putih,indonesia mode jersey putih,"['indonesia', 'mode', 'jersey', 'putih']","['indonesia', 'mode', 'jersey', 'putih']","['indonesia', 'mode', 'jersey', 'putih']",indonesia mode jersey putih,neutral
Semalam telat 3 jam mau nonton 😭,semalam telat jam mau nonton,"['semalam', 'telat', 'jam', 'mau', 'nonton']","['semalam', 'telat', 'jam', 'nonton']","['malam', 'telat', 'jam', 'nonton']",malam telat jam nonton,neutral
Aku nonton lagi waktu 7 vw,aku nonton lagi waktu vw,"['aku', 'nonton', 'lagi', 'waktu', 'vw']","['nonton', 'vw']","['nonton', 'vw']",nonton vw,neutral
"Padahal udah nonton di TV, nonton lagi ah 😅",padahal udah nonton di tv nonton lagi ah,"['padahal', 'udah', 'nonton', 'di', 'tv', 'nonton', 'lagi', 'ah']","['udah', 'nonton', 'tv', 'nonton', 'ah']","['udah', 'nonton', 'tv', 'nonton', 'ah']",udah nonton tv nonton ah,neutral
Never give up 💯,never give up,"['never', 'give', 'up']","['never', 'give']","['never', 'give']",never give,neutral
moga marselinno nggak tinggi hati ..tetaplah tenang dan rendah hati,semoga marselinno tidak tinggi hati tetaplah tenang dan rendah hati,"['semoga', 'marselinno', 'tidak', 'tinggi', 'hati', 'tetaplah', 'tenang', 'dan', 'rendah', 'hati']","['semoga', 'marselinno', 'hati', 'tetaplah', 'tenang', 'rendah', 'hati']","['moga', 'marselinno', 'hati', 'tetap', 'tenang', 'rendah', 'hati']",moga marselinno hati tetap tenang rendah hati,neutral
ngk bisa move on nonton nya gais😂,tidak bisa move on nonton nya gais,"['tidak', 'bisa', 'move', 'on', 'nonton', 'nya', 'gais']","['move', 'nonton', 'gais']","['move', 'nonton', 'gais']",move nonton gais,neutral
Impossible is Nothing...🔥🔥🔥🇮🇩🇮🇩,impossible is nothing,"['impossible', 'is', 'nothing']","['impossible', 'nothing']","['impossible', 'nothing']",impossible nothing,neutral
Rizki ridho tenang n keren maennya,rizki ridho tenang dan keren maennya,"['rizki', 'ridho', 'tenang', 'dan', 'keren', 'maennya']","['rizki', 'ridho', 'tenang', 'keren', 'maennya']","['rizki', 'ridho', 'tenang', 'keren', 'maennya']",rizki ridho tenang keren maennya,neutral
deg2an nonton highlight..,deg an nonton highlight,"['deg', 'an', 'nonton', 'highlight']","['deg', 'nonton', 'highlight']","['deg', 'nonton', 'highlight']",deg nonton highlight,neutral
Kalian Luar biasaaaaaaaaaa,kalian luar biasaa,"['kalian', 'luar', 'biasaa']",['biasaa'],['biasaa'],biasaa,neutral
Itu dia gaya permainan marselino yang tenang tapi pasti🎉,itu dia gaya permainan marselino yang tenang tapi pasti,"['itu', 'dia', 'gaya', 'permainan', 'marselino', 'yang', 'tenang', 'tapi', 'pasti']","['gaya', 'permainan', 'marselino', 'tenang']","['gaya', 'main', 'marselino', 'tenang']",gaya main marselino tenang,neutral
Berasa nonton piala dunia,berasa nonton piala dunia,"['berasa', 'nonton', 'piala', 'dunia']","['berasa', 'nonton', 'piala', 'dunia']","['asa', 'nonton', 'piala', 'dunia']",asa nonton piala dunia,neutral
Nitip do'a juga y,nitip do juga,"['nitip', 'do', 'juga']",['nitip'],['nitip'],nitip,neutral
Kekurangan striker,kekurangan striker,"['kekurangan', 'striker']","['kekurangan', 'striker']","['kurang', 'striker']",kurang striker,neutral
Ketinggalan ntn di apk apa bng,ketinggalan ntn di apk apa bng,"['ketinggalan', 'ntn', 'di', 'apk', 'apa', 'bng']","['ketinggalan', 'ntn', 'apk', 'bng']","['tinggal', 'ntn', 'apk', 'bng']",tinggal ntn apk bng,neutral
Seru meskipun nonton highlight 🤟🤟🔥🔥,seru meskipun nonton highlight,"['seru', 'meskipun', 'nonton', 'highlight']","['seru', 'nonton', 'highlight']","['seru', 'nonton', 'highlight']",seru nonton highlight,neutral
Kemarin bang kenapa kolom komentar di tiadakan,kemarin bang kenapa kolom komentar di tiadakan,"['kemarin', 'bang', 'kenapa', 'kolom', 'komentar', 'di', 'tiadakan']","['kemarin', 'bang', 'kolom', 'komentar', 'tiadakan']","['kemarin', 'bang', 'kolom', 'komentar', 'tiada']",kemarin bang kolom komentar tiada,neutral
12:48 Dingin sekali 🥶,dingin sekali,"['dingin', 'sekali']",['dingin'],['dingin'],dingin,neutral
Masrel semoga bisa  menyetak gol terus,masrel semoga bisa menyetak gol terus,"['masrel', 'semoga', 'bisa', 'menyetak', 'gol', 'terus']","['masrel', 'semoga', 'menyetak', 'gol']","['masrel', 'moga', 'tak', 'gol']",masrel moga tak gol,neutral
Pak ez,pak ez,"['pak', 'ez']",['ez'],['ez'],ez,neutral
Dingin tapi tidak kejam🔥🔥🔥🔥,dingin tapi tidak kejam,"['dingin', 'tapi', 'tidak', 'kejam']","['dingin', 'kejam']","['dingin', 'kejam']",dingin kejam,neutral
Baru kali ini nonton timnas bisa main tenang melawan Arab Saudi.. Biasanya cuma jadi kucing2an.. 😢😢,baru kali ini nonton timnas bisa main tenang melawan arab saudi biasanya cuma jadi kucing an,"['baru', 'kali', 'ini', 'nonton', 'timnas', 'bisa', 'main', 'tenang', 'melawan', 'arab', 'saudi', 'biasanya', 'cuma', 'jadi', 'kucing', 'an']","['kali', 'nonton', 'timnas', 'main', 'tenang', 'melawan', 'arab', 'saudi', 'kucing']","['kali', 'nonton', 'timnas', 'main', 'tenang', 'lawan', 'arab', 'saudi', 'kucing']",kali nonton timnas main tenang lawan arab saudi kucing,neutral
Timnas kalau mau main home/away harus pake jersey putih...,timnas kalau mau main home away harus pake jersey putih,"['timnas', 'kalau', 'mau', 'main', 'home', 'away', 'harus', 'pake', 'jersey', 'putih']","['timnas', 'main', 'home', 'away', 'pake', 'jersey', 'putih']","['timnas', 'main', 'home', 'away', 'pake', 'jersey', 'putih']",timnas main home away pake jersey putih,neutral
Kurang kurangi Iklan min,kurang kurangi iklan min,"['kurang', 'kurangi', 'iklan', 'min']","['kurangi', 'iklan', 'min']","['kurang', 'iklan', 'min']",kurang iklan min,neutral
kesaktian jersey putih,kesaktian jersey putih,"['kesaktian', 'jersey', 'putih']","['kesaktian', 'jersey', 'putih']","['sakti', 'jersey', 'putih']",sakti jersey putih,neutral
Pkai bju putih trus ae,pkai bju putih terus ae,"['pkai', 'bju', 'putih', 'terus', 'ae']","['pkai', 'bju', 'putih', 'ae']","['pkai', 'bju', 'putih', 'ae']",pkai bju putih ae,neutral
IN....DO....NE...SIA... 🇲🇨🇲🇨🇲🇨🇲🇨🇲🇨,in do ne sia,"['in', 'do', 'ne', 'sia']","['ne', 'sia']","['ne', 'sia']",ne sia,neutral
Siapa yang pas timnas main rcti malah gk ada sinyal 😢,siapa yang pas timnas main rcti malah tidak ada sinyal,"['siapa', 'yang', 'pas', 'timnas', 'main', 'rcti', 'malah', 'tidak', 'ada', 'sinyal']","['pas', 'timnas', 'main', 'rcti', 'sinyal']","['pas', 'timnas', 'main', 'rcti', 'sinyal']",pas timnas main rcti sinyal,neutral
Pemain udah bagus yg ngga bgus saya cari chanel nya dmna?? TV ku ngga ada RCTI nya.. Ada yg bisa jwb😂,pemain udah bagus yang tidak bgus saya cari chanel nya dmna tv ku tidak ada rcti nya ada yang bisa jwb,"['pemain', 'udah', 'bagus', 'yang', 'tidak', 'bgus', 'saya', 'cari', 'chanel', 'nya', 'dmna', 'tv', 'ku', 'tidak', 'ada', 'rcti', 'nya', 'ada', 'yang', 'bisa', 'jwb']","['pemain', 'udah', 'bagus', 'bgus', 'cari', 'chanel', 'dmna', 'tv', 'ku', 'rcti', 'jwb']","['main', 'udah', 'bagus', 'bgus', 'cari', 'chanel', 'dmna', 'tv', 'ku', 'rcti', 'jwb']",main udah bagus bgus cari chanel dmna tv ku rcti jwb,positive
Patut di akui paes kiper yg sangat bagus,patut di akui paes kiper yang sangat bagus,"['patut', 'di', 'akui', 'paes', 'kiper', 'yang', 'sangat', 'bagus']","['patut', 'akui', 'paes', 'kiper', 'bagus']","['patut', 'aku', 'paes', 'kiper', 'bagus']",patut aku paes kiper bagus,positive
"Padahal era simon 2019 Indonesia kalah telak 5-1 oleh arab Saudi dan sekarang era sty imbang 1-1 itupun di kandang lawan, mantap timnas Indonesia Sekarang",padahal era simon indonesia kalah telak oleh arab saudi dan sekarang era sty imbang itupun di kandang lawan mantap timnas indonesia sekarang,"['padahal', 'era', 'simon', 'indonesia', 'kalah', 'telak', 'oleh', 'arab', 'saudi', 'dan', 'sekarang', 'era', 'sty', 'imbang', 'itupun', 'di', 'kandang', 'lawan', 'mantap', 'timnas', 'indonesia', 'sekarang']","['era', 'simon', 'indonesia', 'kalah', 'telak', 'arab', 'saudi', 'era', 'sty', 'imbang', 'itupun', 'kandang', 'lawan', 'mantap', 'timnas', 'indonesia']","['era', 'simon', 'indonesia', 'kalah', 'telak', 'arab', 'saudi', 'era', 'sty', 'imbang', 'itu', 'kandang', 'lawan', 'mantap', 'timnas', 'indonesia']",era simon indonesia kalah telak arab saudi era sty imbang itu kandang lawan mantap timnas indonesia,positive
Klo di siarkan di EMTEK grup pasti highlight nya 1 menit,kalau di siarkan di emtek grup pasti highlight nya menit,"['kalau', 'di', 'siarkan', 'di', 'emtek', 'grup', 'pasti', 'highlight', 'nya', 'menit']","['siarkan', 'emtek', 'grup', 'highlight', 'menit']","['siar', 'emtek', 'grup', 'highlight', 'menit']",siar emtek grup highlight menit,positive
ini baru permainan yang hebat. semua lini bergerak. second kedua juga jalan.. cuma sedikit saja melenceng,ini baru permainan yang hebat semua lini bergerak second kedua juga jalan cuma sedikit saja melenceng,"['ini', 'baru', 'permainan', 'yang', 'hebat', 'semua', 'lini', 'bergerak', 'second', 'kedua', 'juga', 'jalan', 'cuma', 'sedikit', 'saja', 'melenceng']","['permainan', 'hebat', 'lini', 'bergerak', 'second', 'jalan', 'melenceng']","['main', 'hebat', 'lini', 'gerak', 'second', 'jalan', 'lenceng']",main hebat lini gerak second jalan lenceng,positive
Saudi keok bosss,saudi keok boss,"['saudi', 'keok', 'boss']","['saudi', 'keok', 'boss']","['saudi', 'keok', 'boss']",saudi keok boss,positive
"Biasanya berharap sama turnament usia muda, sekarang malah kebalikanny pengen liat timnas senior main
Satu hal yg bikin positif utk timnas, ketika mereka masuk kelapangan muka mereka tersenyum udah jarang keliatan tegang",biasanya berharap sama turnament usia muda sekarang malah kebalikanny ingin lihat timnas senior main satu hal yang bikin positif untuk timnas ketika mereka masuk kelapangan muka mereka tersenyum udah jarang keliatan tegang,"['biasanya', 'berharap', 'sama', 'turnament', 'usia', 'muda', 'sekarang', 'malah', 'kebalikanny', 'ingin', 'lihat', 'timnas', 'senior', 'main', 'satu', 'hal', 'yang', 'bikin', 'positif', 'untuk', 'timnas', 'ketika', 'mereka', 'masuk', 'kelapangan', 'muka', 'mereka', 'tersenyum', 'udah', 'jarang', 'keliatan', 'tegang']","['berharap', 'turnament', 'usia', 'muda', 'kebalikanny', 'lihat', 'timnas', 'senior', 'main', 'bikin', 'positif', 'timnas', 'masuk', 'kelapangan', 'muka', 'tersenyum', 'udah', 'jarang', 'keliatan', 'tegang']","['harap', 'turnament', 'usia', 'muda', 'kebalikanny', 'lihat', 'timnas', 'senior', 'main', 'bikin', 'positif', 'timnas', 'masuk', 'lapang', 'muka', 'senyum', 'udah', 'jarang', 'liat', 'tegang']",harap turnament usia muda kebalikanny lihat timnas senior main bikin positif timnas masuk lapang muka senyum udah jarang liat tegang,positive
"Luar biasa Garuda ku,bravo bravo bravo,itu aja",luar biasa garuda ku bravo bravo bravo itu saja,"['luar', 'biasa', 'garuda', 'ku', 'bravo', 'bravo', 'bravo', 'itu', 'saja']","['garuda', 'ku', 'bravo', 'bravo', 'bravo']","['garuda', 'ku', 'bravo', 'bravo', 'bravo']",garuda ku bravo bravo bravo,positive
Pemain bertahan Indonesia sangat baik ...❤,pemain bertahan indonesia sangat baik,"['pemain', 'bertahan', 'indonesia', 'sangat', 'baik']","['pemain', 'bertahan', 'indonesia']","['main', 'tahan', 'indonesia']",main tahan indonesia,positive
Keren lah Timnas❤❤❤,keren lah timnas,"['keren', 'lah', 'timnas']","['keren', 'timnas']","['keren', 'timnas']",keren timnas,positive
