cleaned_stemmed,sentiment_prediction
simpul bhwa spak bola indonesia bgus dlu kn tngan ktua pssi,negative
alhamdulillah moga tanding oleh hasil iya maksimal aamiin,positive
alkhamdulillah hasil positif solid kompak hebat terbang garuda ku,positive
semangat,positive
alhamdulillah ambil poin tinggal cari serang trengginas,positive
keren kiper dunia main nyala indonesia,positive
anjirr indonesia kompetitif gin nyangka biar naturalisasi maen bola percaya kali lolos piala dunia,negative
indonesia wow wow wow banget,positive
kabar bahagia alhmdulillh,positive
kokoh,positive
alhamdulillah build serang positioning bagus trap offside smkin padu passing smkin,positive
moga tular usia ayo indonesia,positive
mantul main timnas,positive
starter full naturalisasi cadang full lokal,positive
alamak nonton,positive
indonesiaa,positive
skip iklan build,positive
alhamdulilah target capai moga next match kembang ajaib bravo timnas indonesia,positive
alhamdulillah alhamdulillah alhamdulillah yaa alloh mantap garuda best rcti ku,positive
iya allah ridhoi timnas bangsa laju piala dunia kuasa atas sgalanya,negative
doa masyarakat indonesia main sempat sholat tahajud doa timnas indonesia,positive
waspada jepang main spartan skill cepat,negative
tahan imbang tuan rumahh kerenn,negative
keren arab tahan king indo,positive
bnr bnr riski ridho slalu starting,positive
stadion arab indonesia,positive
bantai gbk,positive
kta paes kereen,negative
main timnas indo,positive
orang saudi muka muka orang indonesia tki tki,negative
alhamdulillah bangga,positive
bagus main turut catat kembang main paksa pegang bola pdahal sulit hilang bagus main bravo indonesia,positive
hasil latih striker yeom ki hun,positive
mancini tidur nyenyak,negative
ttp trophy aff,positive
bang ino bangku cadang,positive
alhamdulillah imbang lawan saudi paes keren ragnar kepala plontos bawa berkah jaya indonesia,positive
rugi wasit,negative
bangga indonesia level nyinyir,positive
nama indonesia main udah kelas dunia malaysia vietnam taidijalan,positive
hebat timnas,positive
ragnar tampil pagi,positive
terima kasih,positive
klaw pakek jersey putih putih timnas untung,positive
netizen malay vietnam thailand bilang indo lumbung gol coba negara lawan arab berani,negative
towel udah tenggelam,negative
finalti langgar struik keras banget,negative
indonesia emg undedog kuda hitam,negative
congrats indonesia,positive
best timnas ku,positive
arab saudi hasil tahan indonesia,positive
maju garuda allahuakbar,positive
anjir mantep pola main skrg,negative
timnas indonesia,positive
alhamdulillah faseh banget iya,positive
ayo indonesia juang mash lengah,negative
heran kali iya corner saudi ulang,negative
expressi manchini percaya indo cetak goal,positive
mantapp timnas skrg bnr merinding dbuatnya gerombol towel akn sakit hati yuhuu,positive
momen rejeki goal garuda hasil imbang menang,positive
bagi poin,positive
alhamdulilah komentar bagus,positive
alhamdulillah,positive
main timnas umroh doa ijabah doa menang,negative
oratmangoen keren kerasin tim lawan,negative
goal saudi,positive
marten paes pingin nge prank gabut pingin ngetes tendang pinalti,negative
bayang siar indosiar highlight menit,positive
tki indonesia pamer majikan,positive
arab menang gaya doank latih pake oksigen eh senggol angin jatuh mulu yakinn timnas,negative
rcti pelit highligt,negative
berkah umroh match,negative
marsel,positive
et kerja sat set paes gadang main langsung main pas lawan arab indonesia main beda keren,positive
asik tuh prmainan timnas skrg maen aff negara tetangga msih ngehujat gi mna nih,positive
alhamdulillah nyala indonesia ku,positive
towel suka sperti,positive
fans enak nonton paes onana,positive
imbang menang terbang garuda,positive
timnas main mudah mudah stadion indonesia rumput,positive
bner bner era baik timnas indonesia,positive
hebat iya arab saudi nahan imbang king indo,positive
natural semu,positive
ketemu kandang qt kandang macan asia good job,positive
main kandang menang main isi cercah harap,negative
kolektif main timnas bagus moga modal harga tanding tinggal selesai buang moga cepat benah tajam,positive
habis haji langsung imbang lawan arab cuyy,negative
full highlight mantapp marteen paez tenang penalty,positive
roberto mancini kocar kacir,positive
babak penalty transisi bagus nambah gol keren banget,positive
hay idzes masuk,positive
broo indonesian gg argentina,positive
mantap tim nasional indonesia,positive
bangga bangga bangga,positive
martens paess ok banget bravo timnas indonesia,positive
bahagia,positive
arab diving langgar keras king indo imbang tunggu kandang smg hasil,negative
indonesia built bozz,positive
arab saudi main main latih kondang seri felipe mancini,positive
alhamdullah main arab curi poin sana cuaca extrem kabar main cuaca derajat extream main eropa cepat habis staminannya deh main gbk lawan australia main eropa disuguhin main aborad,negative
mantaapp indonesia,positive
insa allah main,positive
skrng indo raja asean,positive
poin,positive
alhamdulillah bangga haru terima kasih kasih juang,positive
marten paess emang gokill,negative
main tim nas indomesia suku agama negara menang sebutin kalimat alhamdulilah ttp kalah udah alam kali indonesia udah pasu gol alhamdulilah indonesia seri kalah ok,positive
semangat kawan,positive
rcti best,positive
mas laga home ntar kerjain maen kasar kartu ntar balas,negative
kejut,positive
alhamdulillah terima kasih iya allah swt,positive
timnas matang permrinanya mantap,positive
indonesia menang unggul imbang payahh,negative
alhamdulillah towel diam,positive
kuat timnas arab tahan imbang,positive
towel towel towel,positive
keren sih marteen paes layak man match pantes belanda tarik ulur nih pemaen,positive
alhamdulillah indonesia level dunia,positive
semalem nobar teriak karuan likenya,negative
babak mai kacau acak arab saudi gol gol arab saudi menit main habis bensin bagaimna coach stamina stamina hrs benah,positive
ragnar ragnar gilakk,negative
menit arab panas,negative
allhamdulillah garuda,positive
mantap babak arab masuk wajah mancini pucat setah imbang cerah hahaha ayo garuda takluk negara group,positive
indonesia boss nyala,positive
alhamdulillah puji syukur hasil tambah modal timnas garuda percaya tatap laga,positive
boikot towell,negative
main kelas timnas indonesia tanding wajib keren tanding,positive
mantap indonesia kalah jepang nnti,positive
salah salah elementer timnas salah passing umpan langgar,negative
makasih rcti durasi,negative
mental main inti lokal ridho witan tingkat berkat tenang disiplin posisi main naturalisasi good job,positive
kelas asia tenggara main kelas dunia ayo indonesia,positive
seri alhamdulillah,positive
martin paes emang bukti kmpuannya mntap,negative
salut marten paes,positive
iya allah percaya main indonesia class banget,positive
kiper nomer timnas,positive
indonesia lolos piala dunia,positive
indonesia masyaallah,positive
ngeri boss kandang arab,positive
main sperti harap sluruh indoneaia moga smakin bagus lgi prtandingan,positive
terima kasih rcti semangat juang timnas ku maju sepak bola indonesia amin,positive
gin kali iya hidup negara timnas jagoa,negative
keinget messi ane,neutral
bala bantu naturalisasi leg lawan australia pikir point,positive
saudi arabia imbang malam tidur gila imbang hebat indo,positive
mancini coyy latih,positive
ball possetion kalah main indonesia tarik ancam gawang arab mental tangguh garuda kandang lawan,negative
lemes badan harap cemas,negative
witan mmng ganti posisi skrg,negative
gg timnas indonesia,positive
auto penuh inimah gbk lawan australia,positive
asnawi ngeri blunder main,positive
tanding tandang kawan timnaa konsisten main merubab moga,negative
martin paes kelas boy,positive
bangga,positive
timnas garuda enjoythegame,positive
rcti emang ok kayak tv indo tv belah tanding sangt keren good rcti,positive
main main pakai hati iya keren cool indonesia,positive
yourr best,positive
kasih pham indonesia main indonesia sikat,positive
mantap kali indonesia mental upgrade biasaa,positive
wak haji suka si bulay tukang caper main bintang,positive
bismillah lolos pildun jepang indonesia aamiin jumat berkah,positive
rafael giring bola lepas mulu lengket,negative
indonesia hebat,positive
syukron,negative
moga depan dapet point aamiin,positive
nomer sikat bang haji,positive
mantap rcti highlitgh menit,positive
towel kecewa,negative
bagus udah kelas dunia,positive
garuda terbang menyalaa hantam garuda,positive
waah hrsnya menang inih keren banget timnas,positive
arab main kaya gitu hadeh king messi kaget,negative
bagus main,positive
gilakk,negative
bagus kayak gin asli,positive
alam kirim latih musuh pulang kampung contoh kim pang gon,negative
terahir goll cepet dikit,negative
main harap depan main kompak timnas indonesia tatap piala dunia,positive
indonesia level beda malaysia thailand,positive
alkhamdulillah point,positive
keren marteen paaez lihat indonesia main alhamdulillah keren mantapp banget,positive
mantap tayang rcti,positive
sejarah broo,negative
mantap boss,positive
alhamdulillah timnas pulang bawa poin semangat garudaq,positive
main inbang gin ranking fifa,positive
terima kasih garuda,positive
kereen biasaa moga tembus piala dunia,negative
paes kwalitas,positive
towel towel tolong cari komenter towel gimana,negative
adu body orang bule tim timteng lawan indo nge fisik players kalah mulu skrg beda players indo eropa skrg fisik kuat,negative
struik main ngotot bagus,positive
bilang imbang arab maju arab lawan sembarang tim kalah argentina,negative
gila main indo thailand vietnam malaysa iri,negative
mantap garuda indonesia,positive
tunggu ber pda hasil poin jugaa lanjut gbk austrlia hrus geengbeng,negative
marteen paess,positive
sukses timnas indonesia,positive
peluang sayang bola lambat ragnar cetak gol,positive
mantap main nyari striker tipe finishing,positive
keren gocek pegang bola bagus terap tik taka gawang langsung shoot top lawan australia optimis menang,positive
hasil bagus nyuri poin tandang negara langgan piala dunia,positive
proud,positive
arab saudi main udah kalah main kasar drama anjir sentuh dikit erang sakit respect jepang mah tim asia,negative
indonesia mantap moga lolos pildun aamiin iya rabbal al amin,positive
rafael ngapain,negative
indonesia menang pd main nyerang kuasa bola tunggu coach indra sjafri senior,positive
indonesia semangat,positive
asnawi ush turun sesuai bahaya,negative
main bagus mantab garuda,positive
alhmdulillah imbang kemaren arab kalah,positive
bismillah besok obok arab gbk,positive
kali lihat timnas tv santa kwatir kalah,negative
harap sty damping timnas piala aff desember kasik latih biar sty fokus bentuk timnas proyeksi pildun sempurna,positive
subhanallah alloh mantap lang sung air matarurun gemetar,positive
gokil gokil gokil kualifikasi piala dunia loh iya main asik banget liat buru buru buang bola tenang benerbener dna eropa banget udah level asia tenggara mah bener bener udah level asia latih kelas mancini nganga timnas indonesia,positive
paes sengaja blunder pamer skill,positive
senang lihat timnas indonesia main moga kembang towel senang towel indonesia langsung juara world cup,positive
kyaknya main arab kyak semangat gitu iya pasing salah lari ngejar,negative
udah kalah smpai takut nonton ehh nahan imbang ngegoal lbih keren,negative
mantap banget asli,positive
jamaah jum ah bahagia jamaah,positive
lihat semangat ragnar,positive
rafael struick lemes tanding ragnar energik,positive
timnas sumpah bagus banget main keren banget terima kasih staf latih main keren,positive
biar naturalisasi senang lihat timnas cewek gen idola kece kece,positive
mantap evaluasi cepat hilang bola coach sty indonesia ragnar striker ngeyel mantap,positive
bangga main timnas indonesia semangat baik,positive
panas,negative
lawan australia timnas,positive
ngomong towel timnas indonesia tahan imbang arab saudi kejang,negative
towel nonton,negative
assalamualaikum worldcup,positive
timnas tahan imbang arab mimpi bos mimpi lgi tanding lawan australia percaya lgi bravo timnas indonesia,positive
nyala bang martin peh,negative
peluang solorun mentok bayang boas budi sudarsono kurniawan dwi yulianto cerita,positive
timnas percaya timnas indah main indah pandang haru terima kasih shin tae young team timnas,positive
hasil maximal,positive
butuh gelandang matang lap tom haye sosok striker,negative
tanding seru arab saudi protes melulu main bola iya qatar biasa sih gol indonesia cek var langgar trick lawan var,negative
rafael matang keren,negative
tidur tidur bangun jam,positive
biar hanyan nton highligt ja dh tau main indonesia skrng indah bget maen kandang lawan msh nerapin presing nyerang,negative
bagus highlight kayak belah,positive
alhamdulillah puas hasil main rapih moga next lawan australia dapt poin penuh aamiin ku garuda ku,positive
indo turun timur tinggal indo main sepak bola iya banyak dakwah,positive
hajar entar indonesia,positive
highlight kaya tv belah rumah sepak bola,positive
main saudi kasar kasar,positive
alhamdulillah nyala garuda,positive
rafael straight gila main,negative
shin ta yong erick tohir mantabb,positive
timnas imbang main versus arab kandang plus latih mancini kualifikasi piala dunia pulang muslim umroh,negative
asa main gbk njir mental best king indo,negative
mantap main away salut juang,positive
paes blundernya ernando,negative
ngebantai australia,positive
next moga bantai negri kangguru,negative
arab lemah serang cepat,negative
mimpi piala dunia nyata indonesia hebat,positive
higltight,positive
main gbk lapang beda main,positive
allhamdulillah,positive
timnas kali maennya bagus rapih hasil bonus,positive
ayo saudi hajar timnas belanda kafir,positive
kiper pake lokal hasil prett,positive
garuda,positive
paes superman malam,positive
kejut grup,positive
al dawsari speednya ngeri,positive
gol ragnar asis rafael,positive
alhamdulillah timnas anggap remeh bangkit bravo bravo bravo timnas,positive
arab gin indonesia,negative
keren timnas indonesia moga allah hidayah lolos pildun,positive
timnas tunggu,positive
imbang serasa menang hujat timnas main keren juang hati fix pas lahir hadir bagi otak,negative
alhamdulillah garuda dada ku,positive
alhamdulillah nyala timnas lndonesia,positive
alhamdulillah keren nahan tuan rmh kandang unggul lbh smoga dijakarta lbh aamiin,positive
cantik,positive
alhamdulillah progres bagus hasil seri menang tandang gimana dapat towel,positive
mnit et andai struick ngoper ragnar mngkin lbh bgus hasil gpp gin bkin china australia bahrain ketar tir,negative
albulayhi ngapain,positive
supporter sejati bangga menang kalah berani hujat,positive
ragu pssi eric tohir coach shin main timnas dijln masuk wolrd cup,positive
paes iseng ah kasih penalti,negative
alhmdulilah poin iya allah debut manis abang marteen paes,positive
merindung,positive
er udah bobol,negative
alhamduliilah moga lolos pildun,positive
mimpi arab saudi kewalahan lawan indonesia,positive
arab bantu wasib,positive
congrats indonesia bagus,positive
mang oerat botak spertinya umroh iya alhamdulillah,negative
selamat indonesia,positive
suka rcti ngeliput lop rcti,positive
hasil bagus hadap arab saudi kandang bawa point moga tgl lawan australia gbk menang,positive
rcti ufah ngikiti indosiar,positive
apa timnas baik,positive
biasaa terima kasih timnass,positive
martin paess best,positive
roberto mancini ketar tir,positive
alhamdulillah main bagus bravo timnas indonesia doa moga main bagus menang,positive
moga allah meridhoi jalan tim indonesia masuk piala dunia bagi amin,positive
optimis indonesia juara asia,positive
alhamdulillah jadi baik pildun semangat garuda,positive
allhamdulilahh maz paess ngak goll kali kuat komunikasi,positive
ohh gin kiper jago,negative
allhamdulilah curi poin,positive
alhamdulilah tanah suci tanah air,positive
indonesian insyaallah otw piala dunia,positive
ngomong ape,negative
kiper sang selamat mantap sebab finalti nahan finalti mantap,positive
minimal dapet point booss senggol donk,negative
main udah bagus tinggal main,positive
dukung arab saudi pesta gol gawang timnas indonesia sorry yee,positive
anjir jerseynya kena keringet tembus dalem liat,negative
thx timnasku bikin bahagia bangga indonesia moga timnas,positive
timnas indonesia hebat betuull,positive
bismillah yok yok putar final world cup,negative
sukur ferdinand starter,positive
indonesia mai mai tenang egois kompak semangat umpan gawang bawak insya allah tanding menang,positive
anjir semalem nonton temen pas paes kena penalti ngedumel mulu kirim komentar akun instagram njirr untung jago paes,negative
sadar indonesia main eropa,negative
rasuk kepa arrizalbalaga,negative
bangga main indonesia malam lawan timnas langgan pildun asia,positive
ayo saudi ganyang timnas belanda kafir,negative
raja akting,positive
main gin piala dunia real,positive
tingkat serang cepat kandas tengah jalan,positive
timnas ku ngeri wel,positive
gila mai king indoq,negative
ayo pssi cari main ok mantep nih cetak gol,positive
tengah babak rafael ganti lemes banget liat,negative
mb rcti highlight jos gandos,positive
liat main natural tahan serang menit main ganti tahan indonesia jebol,positive
hasil blok alhamdulillah,positive
marteen paes mantull banget mental bintang,negative
sabar gembira leg bantai loh takut,positive
banget langgar main arab parah sih ragnar sasar mreka cedera sharusnya dapet kartu merah kartu kuning lepas timnas indonesia hebat,negative
timnas nahan imbang arab ronaldo capai gol jumat berkah full senyum,positive
wasit curang main arab kambuh sakit gampang jatuh qotor,negative
indonesia main kali indonesia asia eropa,positive
mantap timnas garuda main bagus pakai banget,positive
good job penggawa timnas wa haji ragnar oratmangoen martin paes nyala abang,positive
luarbiasa garuda,positive
supporter arab condet iya,positive
gilaa gilaa main kaya gin tembus pd amiin,negative
main keren banget,positive
incredible timnas fantastic team best attack player subhanallah alhamdulillah yeamnas graetagain,positive
paes sengaja test drive jir lihat wajah mancini panik ngerasa bahagia,negative
iya allah tidur,positive
king indo sengaja seri kuota haji rangin,positive
masuk pildun angan angan terima kasih main luarr,positive
target imbang arab saudi kalah syukur indonesia karna main game target coach sty kru penuh,negative
main panik ganti locall iya alhamdulillah imbang,negative
anjir luar duga,negative
lapang bagus pwrmainan timnas bagus banget,positive
hasil imbang kandang lawan bagus,positive
wis top,positive
hahahha hahah timnas,positive
nonton live streaming legg ngadat mulu untung highlight indonesia sungguh keren bangga,positive
bangga timnas garuda,positive
nama main sepak bola iya bangga timnas bravo timnas,positive
biasaa sty racik main moga timnas maju depan moga lolos pildun,positive
wajar highlight menit,positive
terima kasih timnas terima kasih rcti statistik tanding tayangin next,positive
tim nas bravo jaya,positive
timnasku hebat,positive
momentum nasional anthemnya momentum bagus,positive
merinding bos,negative
cuaca panas lihat spartan menit juang ubah cuaca dingin panas pengaruh imun tubuh salut,positive
timnas main bagus rcti top pokok,positive
bangga moga masuk pildun indo maju,positive
hilang marcelino egois team,negative
joss paes,positive
ayo indonesia ku maju pantang tumbang lawan kalah,negative
alhamdulillah pola main indonesia pola negara negara eropa,positive
enak rcti tuh highlight menit,positive
alhamdulillah well played timnas,positive
makasih juang merah putih,negative
trending guys otw pildun,positive
barvo timnas indonesia,positive
kecewa seri,negative
capt jay permanenin,negative
alhamdulillahh bangun pagi full senyum,positive
harimau malaya gajah putih sembah sujud burung garuda indonesia harap lolos piala dunia harap mimpi suporter sanggup,negative
seru nih gbk,negative
smpe lolos pildun harga ragnar kawan liga eropa bos,negative
kayak dalem mimpi ku hasil tidur jam malem mimpi skor bangun tidur lihat hp bener,negative
imbang harap seh menang,positive
tolong rcti kickoff iklan akhir tanding siar momentnya langsung studio tv belah moment ikut cinta timnas,positive
bela bain nahan ngantuk eh pas kickoff tidur ampe subuh untung highlight rcti pelit,positive
anjir sumpah nangka lihat indo emang bener indo udah era gelap skor bagus lawan arab yaang proyek sepak bola tumben lihat bobol indo blunder blunder konyol bobol karna bola deflek iya susah antisipasi mantab king indo,positive
bantu wasit ngalahkan indonesia kasihan arab saidi alhamdulilah progres mantap kembang garuda,positive
menang fisinising serang,positive
alhamdulillah point putar kualifikasi piala dunia zona asia,positive
main timnas bagus juang kuat tenaga nilai lbh ragnar gila total lebih teman paes good job,positive
indonesia maennya gila,negative
babak imbang babak milik arab saudi syukur alhamdulillah hasil seri,positive
alhamdulillah imbang keren main timnas indonesia moga tanding menang,positive
hebat main lawan langgan world cup lawan tim latih mancini lawan negara liga iya baik asia main dunia main arab saudi sungguh main gentar,positive
dobol roberto mancini bilang bante timnasgaruda bante gatdlle mancini bukti mlh masuk gatel mancini gpk coba,negative
bagus siar mnc group top nih liga inggris mnc group tv belah lihat bola bayar serba dikomersil kalo bayar disiarinnya jam malam,positive
tega kiper marteen paes,negative
main bagus timnas rafael struick tingkat fisik kali hilang kontrol duel kalah fisik ayo timnas bantai lawan lawan pesrsiapan daftar main piala dunia haram hukum bendera bendera indonesia kibar indonesia momen piala dunia aamiin,negative
gacor hj botak,negative
btul keren main timnas,positive
kelas asuh roberto mancini tahan imbang indonesia maluu,negative
garuda ku main bagus akurasi passing selesai speed,positive
alhamdulillah selamat sukses moga juara aamiin,positive
merinding asli biarpun paes blunder kiper tipikal build manuel neuer tunjuk kualitas jempol rispek paes,positive
marten paes muantap banget,negative
sehat rcti highlightnya lengkap banget terima kasih,positive
rcti jozz,negative
idihh arab main kasar drama banget,negative
hebat timnas king asean beneran coy,positive
wadeeuuh coba gol balas arab garuda menang saluut garuda,positive
kandang loh mantap,positive
indonesia tahan imbang arab kandang prestasi bangga,positive
goyang daboy bang sandy,positive
nyala abgku,positive
gila main gokillss kembang banget,negative
arabia kang drama,positive
imbang babgga,negative
alhamdulillah wasyukurillah terus terbang garuda,positive
trmksh arab sengaja ngasih poin indo dnmkn saudara,negative
debut manis martin paes,positive
gbk onta arab dibantae,negative
banget peluang indonesia buru,positive
indonesia imbang lawan negara kalah argentina piala dunia,negative
toyor main arab ngeselin emang,positive
terima kasih rcti kasih highlight nonton langsung moga timnas menang,positive
marten save,positive
imbang kandang lawan dlu indo sllu klh arab saudi,negative
bagus turun aff,positive
malaysia vietnam iri kayak,negative
haru sih,negative
indonesia cetak gol komentator alhamdulillah air mata tetes haru bangga lihat ubah timnas,positive
nyesel nonton,negative
replay ful match kk,positive
alhamdulillah imbang arab negara kalah king argentina tahan imbang timnas,positive
witan main asing yaa,positive
moga masuk piala dunia,positive
indonesia langgan bantai arab saudi,positive
timnas indo mode main luar,positive
main natrulisasi moga motifasii daya juang segenap main lokal brovo timnas ku,positive
towel towel,positive
duet natan witan adl senjata mati lawan,negative
pssi ketemu arab saudi bantai lihat tuh towel,negative
udah kaya inzaghi,negative
barule kabeh ayeuna indonesia resep,positive
timnas baik sejarah hidup terima kasih sty dkk,positive
kagum sepoter indonesia kagum hasil imbang semangat garuda,positive
main imbang saudi frustasi keren banget indonesia,negative
nonton grogi sndiri lihat main pdahal main main lapang deg deg liat,negative
bagus moga konsisten hadap laga main tenang mati poin bagus bravo timnas,positive
hebat timnas biasa babak negara poin,positive
juang timnas ku bantai tim lawan wasit begal,negative
hadirim jamaah jum bahagia,positive
inti timnas main stadion rumput bagus main bagus,positive
tendang witan minum xtra joss,positive
jos gandos,positive
merinding lagu indonesia raya kumandang serasa kayak piala dunia,positive
arab curang dikit,negative
mancini bengong,positive
main away kaya main kandang bravo timnas,positive
iya iya main umroh alloh kasih hebat insyaallah menang raih aamiin,negative
saudi kmrin kalah juara dunia argentina salah liga mahal,negative
gila sih juang maju garuda,positive
busett rafa struick mana capek ngotot,negative
wp guys point,positive
serang sia smoga indo dpat stricker garang tipical suarez benzema lewa,positive
paes debut menggalkan penalti arab saudi martin paes,positive
selamat timnas indonesia moga laga home menang telak aamiin,positive
timnas indonesia biasaa,positive
bukti marten paess biasaa safe penalty safe shot target menang duel udara akurasi umpan long ball kiperr kelas dunia blunder safe penalty,positive
nang nonton dek dekan,positive
mari cinta sepak bola indonesia mari dukung tim indonesia piala dunia doa sukses tim indonesia piala dunia rebut amin,positive
al bulayhi,positive
maarten hujat gra salah fans fomo indonesia mantap dh kualitas maarten kga kaleng,positive
wow main timnas,positive
indonesia coba pantas main piala dunia,positive
kelas banget gol terbang garuda muda gag pa imbang main top banget,positive
marten paes nyata nyala,negative
alhamdulillah curi poin jepang australia,positive
alhamdulillah imbang kalah,positive
alhamdulillah moga selajutnya hasil,positive
iya tim timur mai sllalu bnyak drma wasit sllalu,positive
wak haji umroh botak langsung buf mangkin op,negative
mimpi nonton timnas lawan latih mancini ngelawan,negative
mantab paess brovo timnas,positive
main turun belanda iya cerita hadeuh,negative
main latih arab roberto mancini sintayong imbang mantaf timnas,positive
couch sin prediksi akurat bawa poin amazing,positive
mantapp garuda indonesia,positive
ttoowel,positive
alhmdlh jos mantapp timnas,positive
main asia tenggara,positive
oke optimis dpn bagus khusus kiper nahan pengin tampil semangat kali yaa optimal tampil paket komplit blunder tebus mental ruaarr,positive
alhamdulillah draw langgan piala dunia latih kelas dunia not,positive
lihat ragnar keinget pepe,negative
nonton sekolah,neutral
moga konsisten poin harga never give indonesia,negative
mantap serasa kelas eropa moga nambah striker hus gol,positive
mulut towel ngomong,negative
marten paes emang joss,negative
heran wasitt tendang sudut gratis,positive
pegang hak siar indosiar tau sctv highlight cuman menit bikin emosi moga depan pegang hak siar ttp rcti salut juang timnas indonesia,positive
awal yng bagus,positive
sayang banget suporter indo jarang kena kamera,negative
lihat komentar harimau malaya ompong,negative
rcti emng ngecewain top bikin highligh,positive
paes skillnya kasih pinalti,positive
mana si tower ehh towel maksud umroh iya,negative
orang pildun settingan percaya king indo tahan imbang saudi,negative
namany timnas indonesia sty master taktik marten paes sesuai ekspektasi seri hasil baik,positive
alhamdulillah bangga haru timnas indonesia nonton karna tidur highlight lengkap rcti gambar poin poin main keren bangga sumpah,positive
pesimis pinalti langsung semangat tk timnas indonesia,positive
alhamdulillah ahhay remis babak main keren banget kiper nontonnya bola babak deg degan fisik udah kedodoran efek cuaca ektrime semangat fight detik tamales,positive
timnas top tangkiyu main sty,positive
rumput bagus timnas main bagus nyala timnass ku,positive
hubner mana,positive
main indonesia bangga maju indonesiaa,positive
marten paes langsung nunjukin kwalitas langgar tepis,positive
su pantes masuk piala dunia main keren klas erofa,positive
apa hasil bangga,negative
rcti udah best bikin highlight bener,positive
buset indonesia main away kayak gin kyaknya indonesia nih lumayan dapet poin,negative
highlightnya mantap min oh iya lupa rcti indosiar lari highlightnya,positive
saangat bangga,positive
indonesia takut china doang takut tagih hutang,neutral
arab main licik iya,positive
tetangga belah main liga tarkam tetangga belah push rank point fifa,positive
suka rcti indo ar potong higlightnya,positive
hiddupbangsaku hidup negeri ku jaya pssi,negative
sabar jumpa gbk,positive
asa tim nasional jago level dunia,positive
timnas saing level dunia,positive
towel cemas,positive
tanah suci versus tanah air bagi angka,positive
menit gol si rafa ragnar cape maksimal oper bola ragnar gercep jemput bola sayang bngt pdhl menang,negative
ragnar teras langsung anu bulayhi,positive
alhamdulilah iya alloh timnasku bgitu luarbiasa main imbang kandang ksa trims tuk main tlh juang max,positive
indonesia main bagus babak babak lbih tahan andai ttp main ngotot kayak babak menang timnas indonesia,positive
timnas baik latih baik tum pssi baik tajir nikmat dusta main main pola main harap main full lokal turun ikut budaya timnas buang budaya,positive
aff ketar tir hasil,positive
nyala indonesiaq,positive
aku marten paes main bagus semalem blunder,positive
lawan jepang sty strategi lawan jepang,positive
alhamdulillah terima kasih main juang marten paes,positive
main epik banget tim garuda,negative
main lumayan bagus cacat menit injury time kena serang timnas indonesia finishingnya baik,positive
tanding full menang indonesia,positive
gacorr,negative
wajib nikah wanita baik indonesia pria baik belanda hasil aset negara wajib pria baik indonesia nikah noni noni baik belanda ijinkan proyek,positive
bantai gbk ntar,negative
pssi ugrade nyala timnas bravo garuda,positive
wasit netral bagus main imbang,positive
apresiasi suporter sana suporter mana,positive
allhamdulillah dapet poin modal harga hadap australia gbk rangking fifa rendah bikin roberto mancini marah marah,negative
bamgga,positive
sakit hti niat gadang eh stngh tidur bersukur indo mai gol mnit gawang arab kandang best poko,negative
mantap bangga pada garuda indonesia,positive
martin paes uedaan,negative
main tandang lawan ksa hasil imbang muas,negative
alhamdulillah insyaallah indonesia,positive
nunjikin skill,positive
arek suroboyo,positive
ayo semangat timnas ku kandang nantikalian haru menang kendor,positive
martin paes oke hasil menep tendang penalti salim al daousari,positive
trimakasih rcti smoga jaya jngn kya chanel sbelah logo bulat pelit nayangin timnas lma bkl bngkrut,negative
noh lihat supporter indonesia hobi hujat main salah match lihat main alam paes buat salah ernando ari th untung save penalti gagal debut hujat supporter pintar,negative
haallaa paes,negative
timnas main keren mantul,positive
main tandang arab saudi keteter pelatihx kelas dunia bravo garudaq bravo sang pwlatih stafx bravo bravo bravo,positive
aff mimpi,positive
draw away sapu bersih kandang insya allah peringkat,positive
hasil gagal menang,negative
gin doank negara bikin argentija kalah,negative
hina fix anak anj,positive
arab main trik,positive
fyp pinaltinya nih,negative
paes nangkap penalti nangkap tendangam messi,negative
nyesel lihat indo maen tidur pdhal udah alarm,negative
dany alves indonesia,positive
permainanannya keren banget tinggal ego,positive
mantapa martines,positive
indonesia imbang arab saudi kandang indonesia tampil arab saudi tampil arab saudi main indonesia bantai kor tuh,positive
alhamdulilah timas imbang arab,positive
bangga bangga bangga,positive
highlight keren,positive
wasit pecat erik,negative
indonesia loloss piala dunia amin,positive
alhamdulillah timnas poin,positive
next australia bismillah poin unk indonesia,positive
timnas eropa,negative
bangga menit manfaat peluang menang bagus banget,positive
orang indonesia bangga hasil kecuali toel,positive
mesti nambah main tom haye tarik cidera main tekan effektif serang hasil fair terima kasih timnas,positive
lihat mancini tegang menit udah neng bravo timnas,positive
liat mancini cemas cemas main aboard indonesia main barbar arab sportif pokok bangga timnas erik coach sty,positive
selamat main timnas indonesia marteen paes sah kiper timnas blunder tanggung laku top,positive
bravo timnasku garuda indonesia,positive
andai boaz gonzales bambang era,positive
kualifikasi piala dunia nahan imbang arab kandang arab udah kuat indonesia,positive
nyangka lawan udah roberto mancini indonesia hebat,positive
alhamdulilah point sejarah garuda laju,positive
ali al bulayhi versus messi versus ronaldo versus oratmangoen,negative
terima kasih sty,positive
luarr timnas garuda,positive
main arab sampah yak senggol dikit guling guling,negative
mantapp highlight rcti pelit durasi milik hak siar,positive
highlight kayak indosiar sctv pokok skip iklan min,positive
